ind_group,ind_label,horizon,beta,boot_se,p_value,bh_reject
3,Trade,29,0.0029005909740997342,0.004436548472883388,0.464,false
3,Trade,30,0.004243014135251079,0.004562402055958384,0.336,false
3,Trade,31,0.0014266634649499356,0.004698937160845634,0.784,false
3,Trade,32,0.0063852754024868435,0.004620574296726782,0.176,false
3,Trade,33,0.0043118234306973105,0.0036560750756091404,0.224,false
3,Trade,34,0.003804748552365141,0.004407554567328352,0.444,false
3,Trade,35,0.0003914661650197956,0.003913696469235402,0.888,false
3,Trade,36,0.006611694429942143,0.003560243554511679,0.064,false
4,Services,0,-0.0014921258361754008,0.0025291954550085926,0.536,false
4,Services,1,0.00044936773128768107,0.0025965372687965847,0.888,false
4,Services,2,0.0007892590216150013,0.002895180475820782,0.78,false
4,Services,3,0.0006279230148427857,0.002661786301787193,0.836,false
4,Services,4,-0.002126607606040007,0.0028243714549232206,0.38,false
4,Services,5,0.0020241879792872704,0.002314357433437969,0.396,false
4,Services,6,-0.00010631137904934778,0.002537924059393766,0.896,false
4,Services,7,-0.0010742976028365913,0.002287539494554498,0.536,false
4,Services,8,-0.000842687949678078,0.0022883200723678803,0.676,false
4,Services,9,0.00178337053167691,0.002576056631612849,0.616,false
4,Services,10,-0.002667817144333181,0.0025178391102814754,0.236,false
4,Services,11,0.003031061874642785,0.0025755900545539174,0.22,false
4,Services,12,0.0011930131423853027,0.0023217454013627,0.668,false
4,Services,13,0.0020733078110490707,0.0025418339842831865,0.448,false
4,Services,14,-0.0031453260847458886,0.0029565196089575254,0.296,false
4,Services,15,0.00023863373942077806,0.0028526471680621252,0.992,false
4,Services,16,0.00017657161661496757,0.003016602588697391,0.988,false
4,Services,17,-0.00019881628542190322,0.002954040232912772,0.876,false
4,Services,18,0.000981954510949173,0.002898215404488448,0.716,false
4,Services,19,-0.0008053825461973922,0.0027162532041885585,0.792,false
4,Services,20,0.0029326509158763146,0.0028795841330284595,0.26,false
4,Services,21,-0.001165827828958503,0.0022261224579659617,0.596,false
4,Services,22,-0.0036362209975163806,0.0024060126979723855,0.12,false
4,Services,23,-0.0018136381404653488,0.003147164222112478,0.572,false
4,Services,24,-0.0007158977123768703,0.0027402180508960716,0.852,false
4,Services,25,0.003069737160348853,0.002486104072265782,0.18,false
4,Services,26,0.0024629967183459065,0.0030736995860368528,0.392,false
4,Services,27,0.003618877825333274,0.0027091246272735315,0.124,false
4,Services,28,-0.001976461287451462,0.0028276492183424854,0.576,false
4,Services,29,0.00045574480538155973,0.00281945825652242,0.904,false
4,Services,30,0.000340363144862619,0.002385479608743871,0.888,false
4,Services,31,0.0012143478797322026,0.0027384694029802046,0.58,false
4,Services,32,0.0005219361304292939,0.0026603495145205024,0.808,false
4,Services,33,0.004911435687163268,0.0026808102524305323,0.076,false
4,Services,34,0.00027235203423821704,0.003082562588583938,0.896,false
4,Services,35,0.0017097908437180447,0.0024092951373837703,0.428,false
4,Services,36,0.0020389191199853334,0.003096234658986887,0.476,false
