occ_group,occ_label,horizon,beta,boot_se,p_value,bh_reject
6,Service,6,3.400011147157902e-5,0.0004442460186814363,0.94,false
6,Service,7,-0.00017538444175869606,0.00042294901816957857,0.676,false
6,Service,8,0.00011984044407249486,0.00045138919824026,0.72,false
6,Service,9,0.00016244950083458914,0.00044571976500105677,0.688,false
6,Service,10,0.0002983533570347772,0.0004386872522994362,0.488,false
6,Service,11,0.000832789530486914,0.0003867534928021446,0.028,false
6,Service,12,0.000369825715609087,0.0004754104438540632,0.416,false
6,Service,13,0.00024298078203910256,0.0004472891370563474,0.588,false
6,Service,14,-0.00013101877674709936,0.000461527005049154,0.808,false
6,Service,15,6.498555573810223e-5,0.00047728108420428783,0.9,false
6,Service,16,0.00025409673180998575,0.0005074352336991827,0.536,false
6,Service,17,0.0009407379028619296,0.0004829437687675482,0.044,false
6,Service,18,0.0005928426632153439,0.0005009074781131154,0.24,false
6,Service,19,-8.498326658459406e-5,0.0004985149765852166,0.84,false
6,Service,20,-0.0002738299994089839,0.0004722949209471665,0.552,false
6,Service,21,0.00012127290137738805,0.0005187435045093094,0.848,false
6,Service,22,3.346672509437607e-5,0.0004937692370236507,0.96,false
6,Service,23,0.00040260656084178893,0.0004452326594352805,0.348,false
6,Service,24,0.00031624005976246263,0.0005250753614757608,0.596,false
6,Service,25,0.00023011437868102028,0.00044734655579465736,0.676,false
6,Service,26,-0.00014864383157969316,0.0004890673808198181,0.728,false
6,Service,27,-0.00024220368233119662,0.0004809527761083736,0.56,false
6,Service,28,0.0005946094818270368,0.0004759541785014649,0.216,false
6,Service,29,0.0003903945865112511,0.00047911227326257144,0.408,false
6,Service,30,0.000281231881044262,0.0004872015461368429,0.568,false
6,Service,31,0.00015800050991872142,0.0005253086183319522,0.748,false
6,Service,32,-4.9313424489049455e-5,0.0004944441112495296,0.96,false
6,Service,33,0.00035630652411482616,0.0005207036151687324,0.448,false
6,Service,34,-0.0004174162603973013,0.0004854402210182353,0.408,false
6,Service,35,0.0004837549906202018,0.00044819329029219046,0.296,false
6,Service,36,0.00040589882630278316,0.0005745335616813755,0.448,false
7,Farming_forestry_construction,0,-0.0004170835058379669,0.00030249772717468867,0.164,false
7,Farming_forestry_construction,1,-0.0002586968649072171,0.0003175108314842742,0.38,false
7,Farming_forestry_construction,2,-0.00019652606938972585,0.00035388001393087896,0.604,false
7,Farming_forestry_construction,3,-1.1772777628170375e-5,0.00046723596869883207,0.9,false
7,Farming_forestry_construction,4,-3.158643183412576e-5,0.00045910247621181604,0.936,false
7,Farming_forestry_construction,5,-0.0003259767932997322,0.00043267551080211717,0.428,false
7,Farming_forestry_construction,6,-0.00012859493636652446,0.00042367253079881266,0.72,false
7,Farming_forestry_construction,7,-0.0004074119364629066,0.0004677676958478997,0.404,false
7,Farming_forestry_construction,8,0.00012532340063485772,0.0004532354614837148,0.7,false
7,Farming_forestry_construction,9,4.164856457869562e-5,0.0004017938396796269,0.892,false
7,Farming_forestry_construction,10,0.00015306892249016094,0.0003252373488131059,0.592,false
7,Farming_forestry_construction,11,0.00024001930403305126,0.0002801606722263054,0.388,false
7,Farming_forestry_construction,12,-0.0003150504636068902,0.0003399223280666668,0.316,false
7,Farming_forestry_construction,13,-0.0001910435259626892,0.0003186245517712473,0.544,false
7,Farming_forestry_construction,14,-0.00014914408478905458,0.00044992083218638185,0.796,false
7,Farming_forestry_construction,15,2.2381080487746294e-5,0.00048010299510384166,0.98,false
7,Farming_forestry_construction,16,-7.215665638737801e-5,0.0005149650579537078,0.968,false
