ind_group,ind_label,horizon,beta,boot_se,p_value,bh_reject
3,Trade,14,-0.003634800562606477,0.00229913095144871,0.136,false
3,Trade,15,-0.0023611297876974346,0.002536131657384962,0.396,false
3,Trade,16,-0.004115878633185849,0.0024832143964915133,0.08,false
3,Trade,17,-0.0024355006111392513,0.003928636795920525,0.492,false
3,Trade,18,-0.0026677683717277402,0.0031221383077764606,0.332,false
3,Trade,19,-0.005456935358504939,0.002534154794042897,0.024,false
3,Trade,20,-0.004508397444057559,0.0024563809415734236,0.08,false
3,Trade,21,-0.0026708762068666783,0.002530426600512567,0.3,false
3,Trade,22,-0.0018472333374834778,0.002471369384446072,0.516,false
3,Trade,23,-0.005564350463220018,0.002528054414979596,0.028,false
3,Trade,24,-0.008253341961501624,0.0028942094494110574,0.004,false
3,Trade,25,-0.007124781614554721,0.002797987774429074,0.012,false
3,Trade,26,-0.0034914362317836336,0.0025080320697835265,0.196,false
3,Trade,27,-0.0036167653996271496,0.002588095854536498,0.2,false
3,Trade,28,-0.004011061389349216,0.002580352044916171,0.12,false
3,Trade,29,-0.005389875543154176,0.0027102568463240203,0.06,false
3,Trade,30,-0.006343880021914814,0.002625855211090172,0.012,false
3,Trade,31,-0.007195321721659607,0.0023730661248974696,0.0,true
3,Trade,32,-0.006513320591000778,0.002566279688489411,0.012,false
3,Trade,33,-0.004002332839725793,0.0025106703144509132,0.136,false
3,Trade,34,-0.002258968698698068,0.0028096495939429955,0.432,false
3,Trade,35,-0.0018136947844687946,0.0036898183982080946,0.584,false
3,Trade,36,-0.003381007243009122,0.003525613464744915,0.296,false
4,Services,0,-0.001913337662846623,0.0016031677590815883,0.28,false
4,Services,1,0.001910454163704781,0.0014489955768641012,0.128,false
4,Services,2,0.0030782706791296272,0.001744190216616536,0.048,false
4,Services,3,0.000715531580444642,0.0014154629336006837,0.536,false
4,Services,4,-0.000524589425107458,0.001605336318451682,0.78,false
4,Services,5,-0.0009320106104978931,0.0017386235695816847,0.652,false
4,Services,6,-0.00089674804778841,0.0015358462383086653,0.628,false
4,Services,7,-0.0011885930463287054,0.001692603082217794,0.556,false
4,Services,8,-0.0016238273400841347,0.0015378264413840356,0.384,false
4,Services,9,-0.001516701465432575,0.0015376571748202353,0.468,false
4,Services,10,-0.0005184362663546678,0.0017507857435661235,0.844,false
4,Services,11,-0.00038944486701204025,0.00195719438052925,0.968,false
4,Services,12,-0.0015699328321564223,0.001861109016444363,0.516,false
