ind_group,ind_label,horizon,beta_abs,theta,boot_se,p_value,bh_reject
4,Manufacturing_nondurable,36,0.0006076703628437905,NaN,0.001525092153063855,0.632,false
5,Manufacturing_durable,0,1.9455040426730634e-5,NaN,0.0008691748398351059,1.0,false
5,Manufacturing_durable,1,0.0008450183085519547,NaN,0.0009569121148316731,0.356,false
5,Manufacturing_durable,2,0.0008924739649940753,NaN,0.0009253008970619644,0.312,false
5,Manufacturing_durable,3,0.002251705930198263,NaN,0.0009140366119552332,0.02,false
5,Manufacturing_durable,4,0.0008380037713464878,NaN,0.001029870248275379,0.388,false
5,Manufacturing_durable,5,0.0003284662002790977,NaN,0.0010466791987508515,0.752,false
5,Manufacturing_durable,6,7.513656378122268e-5,NaN,0.0010561336343982344,0.944,false
5,Manufacturing_durable,7,-0.00023493769260328842,NaN,0.001149862881837504,0.896,false
5,Manufacturing_durable,8,-0.0001243095131216172,NaN,0.0010089860289612266,1.0,false
5,Manufacturing_durable,9,-0.0001891563407318733,NaN,0.0011405434342835789,0.84,false
5,Manufacturing_durable,10,0.0009299848770925036,NaN,0.0011018343008949777,0.328,false
5,Manufacturing_durable,11,0.00019388349838851077,NaN,0.0010672567838241318,0.828,false
5,Manufacturing_durable,12,-0.0006357539620734037,NaN,0.0010810180525110506,0.548,false
5,Manufacturing_durable,13,0.0008663367469502671,NaN,0.0011148066494885722,0.388,false
5,Manufacturing_durable,14,0.0004692849228142419,NaN,0.0013798959836672264,0.732,false
5,Manufacturing_durable,15,-0.00038565829900806076,NaN,0.0011995637304199188,0.732,false
5,Manufacturing_durable,16,-0.000574733751852759,NaN,0.001171830160071675,0.628,false
5,Manufacturing_durable,17,-0.0021326885708667642,NaN,0.0010124289249183677,0.048,false
5,Manufacturing_durable,18,-0.0003470006359462371,NaN,0.0010895660061569696,0.804,false
5,Manufacturing_durable,19,-0.001692198840043703,NaN,0.001025209231024642,0.096,false
5,Manufacturing_durable,20,-0.0010339765418288886,NaN,0.001122251445187701,0.42,false
5,Manufacturing_durable,21,-0.0017967570138840855,NaN,0.001069400026179833,0.136,false
5,Manufacturing_durable,22,0.0007828006254333052,NaN,0.0009288263767782955,0.34,false
5,Manufacturing_durable,23,-0.00042148073349114636,NaN,0.0011233093544742718,0.72,false
5,Manufacturing_durable,24,-0.0014331900459053496,NaN,0.0010151799746085039,0.176,false
5,Manufacturing_durable,25,0.0015817214473925962,NaN,0.0011936117893239335,0.176,false
5,Manufacturing_durable,26,0.0002101210802684009,NaN,0.001081394522775306,0.824,false
5,Manufacturing_durable,27,0.0001529609501449918,NaN,0.0011052127519916124,0.912,false
