outcome,industry,occupation,horizon,beta,ci_lo90,ci_hi90,sig90
by_occupation,hours,Farming/forestry/construction,27,-0.0019663178644080833,-0.005452282758738266,0.0004453563218287239,false
by_occupation,hours,Farming/forestry/construction,27,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,27,-0.0022640651969568744,-0.0070319068271674666,0.0020949693582626334,false
by_occupation,hours,Farming/forestry/construction,28,-0.0035275130884654974,-0.007847578431845427,0.0009181760931256258,false
by_occupation,hours,Farming/forestry/construction,28,-0.0009684103454054095,-0.003999150954717564,0.0017733965546065968,false
by_occupation,hours,Farming/forestry/construction,28,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,28,-0.0024570648809126906,-0.006233809930396546,0.0032016756931878185,false
by_occupation,hours,Farming/forestry/construction,29,-0.004286264046606464,-0.009089452009322267,-1.5984157117754708e-5,true
by_occupation,hours,Farming/forestry/construction,29,-0.004123368859758887,-0.007807672459088989,-0.001969262053756104,true
by_occupation,hours,Farming/forestry/construction,29,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,29,-0.004372053522065177,-0.009685321145778091,-0.0005736179613102595,true
by_occupation,hours,Farming/forestry/construction,30,0.0031726590760406694,-0.001941632470360491,0.009402973617657554,false
by_occupation,hours,Farming/forestry/construction,30,-0.0036118758874858227,-0.007247356668132821,-0.0013947195783664311,true
by_occupation,hours,Farming/forestry/construction,30,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,30,-0.0028384176274381012,-0.006039792429414282,0.0007256557987653589,false
by_occupation,hours,Farming/forestry/construction,31,0.0033377140308242167,-0.0020903373623620894,0.007691611243138073,false
by_occupation,hours,Farming/forestry/construction,31,-0.0028563828301439924,-0.005457373238479861,-0.0009315281646212492,true
by_occupation,hours,Farming/forestry/construction,31,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,31,-0.0036863462043371376,-0.008121515770137405,0.00040828625321285596,false
by_occupation,hours,Farming/forestry/construction,32,0.0015088704571510068,-0.0037581519060076616,0.0069959146465032925,false
by_occupation,hours,Farming/forestry/construction,32,-0.004139930360554174,-0.007820495993840146,-0.0020165762030453786,true
by_occupation,hours,Farming/forestry/construction,32,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,32,-0.00631653800917805,-0.010578113271691999,-0.0016439922990280917,true
by_occupation,hours,Farming/forestry/construction,33,-0.001009617273245261,-0.006502466118300269,0.004893249591952394,false
by_occupation,hours,Farming/forestry/construction,33,-0.003911986180560835,-0.006334731627540828,-0.0019239337445262233,true
by_occupation,hours,Farming/forestry/construction,33,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,33,-0.012206369730065777,-0.015852756527266816,-0.008728689923994901,true
by_occupation,hours,Farming/forestry/construction,34,0.0002039105113691278,-0.00508274687463669,0.005474232825812633,false
by_occupation,hours,Farming/forestry/construction,34,-0.0005281243487366755,-0.0024575622332801395,0.001408469887196678,false
by_occupation,hours,Farming/forestry/construction,34,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,34,-0.005614222555057118,-0.011891074312459029,-0.0014615978276267347,true
by_occupation,hours,Farming/forestry/construction,35,0.0032225102345481067,-0.002224794620718571,0.009546967345038545,false
by_occupation,hours,Farming/forestry/construction,35,-0.0029388888429949045,-0.004764748530579242,-0.0008587611892208443,true
by_occupation,hours,Farming/forestry/construction,35,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,35,-0.006234508847568502,-0.01089220761409736,-0.0026216839455851003,true
by_occupation,hours,Farming/forestry/construction,36,0.0016309244361628588,-0.004214525853481934,0.0065614107713059195,false
by_occupation,hours,Farming/forestry/construction,36,-0.0017191762732902064,-0.0045637465635930095,0.0005728387236563234,false
by_occupation,hours,Farming/forestry/construction,36,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,36,-0.0049074688255145915,-0.009459224095496146,-0.0004778589978698877,true
employment,Trade,Farming/forestry/construction,0,-0.016914750678304773,-0.062394365519778006,0.04288449672280103,false
employment,Trade,Farming/forestry/construction,1,-0.015946612767622447,-0.1253959421894591,0.09081891106859476,false
employment,Trade,Farming/forestry/construction,2,0.026730416696971227,-0.051443469575573,0.19754942633081735,false
employment,Trade,Farming/forestry/construction,3,0.06403016984182862,-0.023830946116097027,0.17198266513517335,false
employment,Trade,Farming/forestry/construction,4,0.017918874423368692,-0.08710963027975072,0.13537363482859063,false
employment,Trade,Farming/forestry/construction,5,0.054723299301510424,-0.0859680894416038,0.1684061773635073,false
employment,Trade,Farming/forestry/construction,6,0.04981159590187502,-0.13078777002575392,0.15766926901428951,false
employment,Trade,Farming/forestry/construction,7,-0.0012060751211224335,-0.1459710555608652,0.11415564480518603,false
employment,Trade,Farming/forestry/construction,8,0.0006869414696931433,-0.11863396014794068,0.10019604887775424,false
employment,Trade,Farming/forestry/construction,9,0.03272181179471891,-0.1064632188110447,0.16850981949472196,false
employment,Trade,Farming/forestry/construction,10,0.0026778659875028817,-0.20239428536839618,0.0805310507589074,false
employment,Trade,Farming/forestry/construction,11,-0.03178616723549376,-0.15229701098606038,0.06589104176242566,false
employment,Trade,Farming/forestry/construction,12,-0.042001230292270285,-0.21018251633823043,0.05087889145312779,false
employment,Trade,Farming/forestry/construction,13,-0.05949407413318597,-0.19926512666831267,0.04910438207834411,false
employment,Trade,Farming/forestry/construction,14,-0.08215747960037427,-0.11522306089587185,-0.03639736616616227,true
employment,Trade,Farming/forestry/construction,15,-0.11586058114637945,-0.21032184233518353,-0.06088850514380706,true
employment,Trade,Farming/forestry/construction,16,-0.14356302512728217,-0.18650541286142405,-0.08397211399525747,true
employment,Trade,Farming/forestry/construction,17,-0.12018203416857176,-0.1677415953101552,-0.07656587481756065,true
employment,Trade,Farming/forestry/construction,18,-0.06724399904768041,-0.16045571749019272,0.0007190885052616308,false
employment,Trade,Farming/forestry/construction,19,-0.11160962234438211,-0.21573075807411396,0.018008113585398236,false
employment,Trade,Farming/forestry/construction,20,-0.07584536984213543,-0.20110094256692818,0.07888856149107766,false
employment,Trade,Farming/forestry/construction,21,-0.06234953885956823,-0.20001309171992393,0.17040584968430478,false
employment,Trade,Farming/forestry/construction,22,-0.07027096762499002,-0.22863773554335848,0.10536072522926326,false
