occ_group,occ_label,horizon,theta,boot_se,p_value,bh_reject
8,Precision_production_repair,20,-0.005360075704514146,0.006934470903350709,0.44,false
8,Precision_production_repair,21,-0.013195244603112447,0.0056948558645753,0.02,false
8,Precision_production_repair,22,-0.0025766741743735787,0.005869582851604838,0.652,false
8,Precision_production_repair,23,-0.015302006297179644,0.005773154123769064,0.012,false
8,Precision_production_repair,24,-0.010907423036914264,0.006229791563074322,0.064,false
8,Precision_production_repair,25,-0.01469375683024353,0.005585070245167208,0.008,false
8,Precision_production_repair,26,-0.011398849111305944,0.006327831372633849,0.076,false
8,Precision_production_repair,27,-0.013364721324503172,0.0063876736562668845,0.04,false
8,Precision_production_repair,28,-0.015397443243871661,0.005634008060957663,0.004,false
8,Precision_production_repair,29,-0.015240990957624042,0.006515798533629186,0.012,false
8,Precision_production_repair,30,-0.008029495023856689,0.005677753901389033,0.128,false
8,Precision_production_repair,31,-0.010522437388453801,0.006408987714484585,0.096,false
8,Precision_production_repair,32,-0.016556179677811225,0.006375089479906697,0.012,false
8,Precision_production_repair,33,-0.01793726253906309,0.006200560058169537,0.004,false
8,Precision_production_repair,34,-0.009834794173636323,0.006854125036519072,0.12,false
8,Precision_production_repair,35,-0.010638518446762123,0.005476866947650801,0.048,false
8,Precision_production_repair,36,-0.01638152752246071,0.007103648876810103,0.056,false
9,Machine_operators_transport,0,0.0006018881567002098,0.0040132868429628875,0.908,false
9,Machine_operators_transport,1,-0.0026093909412259466,0.005021266036609116,0.612,false
9,Machine_operators_transport,2,0.004740365079537786,0.0061402588033565835,0.392,false
9,Machine_operators_transport,3,0.0033289699219070054,0.004853084799483663,0.528,false
9,Machine_operators_transport,4,0.010115129135063967,0.004468941226165934,0.02,false
9,Machine_operators_transport,5,-0.002610291745922882,0.004449793773095145,0.552,false
9,Machine_operators_transport,6,0.006646798353181366,0.004570636784705037,0.112,false
9,Machine_operators_transport,7,0.004775699600998111,0.005131750342001042,0.344,false
9,Machine_operators_transport,8,-0.0024895429495008126,0.005024192255649235,0.632,false
9,Machine_operators_transport,9,0.004285348952654256,0.005751567564365126,0.436,false
9,Machine_operators_transport,10,0.0034951887503807937,0.005214439756713843,0.476,false
9,Machine_operators_transport,11,-0.003672178180522006,0.004626661680206008,0.408,false
9,Machine_operators_transport,12,-0.007478317817129005,0.005078437442696267,0.124,false
9,Machine_operators_transport,13,-0.0017697556983893882,0.005398566455717865,0.804,false
9,Machine_operators_transport,14,0.005638932729583366,0.0053938130160194366,0.276,false
9,Machine_operators_transport,15,0.007825823338678284,0.005105178517061776,0.136,false
9,Machine_operators_transport,16,0.0013345767989521174,0.004354676670601544,0.78,false
9,Machine_operators_transport,17,-0.002079103942263969,0.004451116551332217,0.624,false
9,Machine_operators_transport,18,0.0021215918276680894,0.005142029525058903,0.756,false
9,Machine_operators_transport,19,0.007021187918912288,0.0045363616133375535,0.112,false
9,Machine_operators_transport,20,0.006496529169310784,0.006024865902662785,0.3,false
9,Machine_operators_transport,21,0.0039506000760112575,0.0052989650867284474,0.468,false
9,Machine_operators_transport,22,0.007467430394152127,0.00541865049692253,0.16,false
